"ref","PTT","OVF","CNT","TX_DATE","DE_DATE","SURF_DUR","DIVE_DUR","N_SURF_DUR","DEP_OFF","MAX_DEP","D1","D2","D3","D4","V1","V2","V3","V4","V5","D_DIST","LAT","LON","TRAVEL_R","HOMEDIST","START_LAT","START_LON","BOTTOM","T1","T2","T3","T4","D_SPEED","N_DEPTHS","N_SPEEDS","DEPTH_STR","SPEED_STR","PROPN_STR","PERCENT_AREA","SUNALT","SUNRISE","SUNSET","RESIDUAL","GRP_NUMBER"
"cr2_KJ_01",13361,,6,,8/2/2001 20:49:30,270,12,,,6.00,6.00,6.00,6.00,6.00,4.73,0.00,4.73,,,,-67.75,-69.28,0.74,87.75,-67.75,-69.28,130,0.00,31.70,31.70,65.00,,4,3,"   6.0,   6.0,   6.0,   6.0"," 4.73, 0.00, 4.73"," 0.0,31.7,31.7,65.0",63.40,-6.20,8/2/2001 13:52:48,8/2/2001 19:33:54,0.00,255
"cr2_KJ_01",13361,,6,,8/2/2001 20:54:48,90,48,,,12.00,6.00,12.00,12.00,12.00,0.00,0.00,0.00,,,,-67.75,-69.28,0.72,87.82,-67.75,-69.28,130,22.20,46.00,52.30,68.20,,4,3,"   6.0,  12.0,  12.0,  12.0"," 0.00, 0.00, 0.00","22.2,46.0,52.3,68.2",49.20,-6.50,8/2/2001 13:52:48,8/2/2001 19:33:55,0.00,255
"cr2_KJ_01",13361,,5,,8/2/2001 20:57:30,150,30,,,9.00,9.00,9.00,9.00,6.00,0.00,0.00,0.00,,,,-67.75,-69.28,0.71,87.85,-67.75,-69.28,130,23.80,23.80,49.20,74.60,,4,3,"   9.0,   9.0,   9.0,   6.0"," 0.00, 0.00, 0.00","23.8,23.8,49.2,74.6",63.40,-6.80,8/2/2001 13:52:49,8/2/2001 19:33:56,0.00,255
"cr2_KJ_01",13361,,5,,8/2/2001 21:01:24,118,84,,,36.00,15.00,27.00,36.00,27.00,0.00,0.00,0.00,,,,-67.75,-69.29,0.69,87.90,-67.75,-69.28,130,22.20,46.00,60.30,69.80,,4,3,"  15.0,  27.0,  36.0,  27.0"," 0.00, 0.00, 0.00","22.2,46.0,60.3,69.8",46.00,-7.00,8/2/2001 13:52:49,8/2/2001 19:33:56,0.00,255
"cr2_KJ_01",13361,,2,,8/2/2001 21:04:02,118,111,,,48.00,15.00,36.00,48.00,21.00,0.00,0.00,0.00,,,,-67.75,-69.29,0.68,87.94,-67.75,-69.29,130,9.50,33.30,61.90,82.50,,4,3,"  15.0,  36.0,  48.0,  21.0"," 0.00, 0.00, 0.00"," 9.5,33.3,61.9,82.5",53.90,-7.20,8/2/2001 13:52:49,8/2/2001 19:33:57,8.00,255
"cr2_KJ_01",13361,,2,,8/2/2001 21:07:51,90,111,,,55.50,24.00,55.50,55.50,33.00,0.00,0.00,0.00,,,,-67.75,-69.29,0.66,87.99,-67.75,-69.29,130,23.80,47.60,50.70,71.40,,4,3,"  24.0,  55.5,  55.5,  33.0"," 0.00, 0.00, 0.00","23.8,47.6,50.7,71.4",47.60,-7.50,8/2/2001 13:52:49,8/2/2001 19:33:58,8.00,255
"cr2_KJ_01",13361,,7,,8/2/2001 21:10:18,102,99,,,18.00,18.00,18.00,18.00,15.00,0.00,0.00,0.00,,,,-67.75,-69.29,0.65,88.02,-67.75,-69.29,130,23.80,36.50,49.20,74.60,,4,3,"  18.0,  18.0,  18.0,  15.0"," 0.00, 0.00, 0.00","23.8,36.5,49.2,74.6",63.40,-7.70,8/2/2001 13:52:49,8/2/2001 19:33:58,0.00,255
"cr2_KJ_01",13361,,7,,8/2/2001 21:13:12,118,72,,,18.00,15.00,18.00,15.00,15.00,0.00,0.00,0.00,,,,-67.75,-69.29,0.64,88.06,-67.75,-69.29,130,20.60,30.10,46.00,73.00,,4,3,"  15.0,  18.0,  15.0,  15.0"," 0.00, 0.00, 0.00","20.6,30.1,46.0,73.0",69.80,-8.00,8/2/2001 13:52:49,8/2/2001 19:33:59,0.00,255
"cr2_KJ_01",13361,,4,,8/2/2001 21:18:02,118,84,,,12.00,12.00,12.00,9.00,6.00,0.00,0.00,0.00,,,,-67.75,-69.29,0.62,88.12,-67.75,-69.29,106,22.20,26.90,46.00,69.80,,4,3,"  12.0,  12.0,   9.0,   6.0"," 0.00, 0.00, 0.00","22.2,26.9,46.0,69.8",47.60,-8.40,8/2/2001 13:52:49,8/2/2001 19:34:00,0.00,255
"cr2_KJ_01",13361,,4,,8/2/2001 21:20:24,90,24,,,15.00,9.00,15.00,15.00,9.00,0.00,0.00,0.00,,,,-67.75,-69.30,0.61,88.16,-67.75,-69.30,106,12.60,41.20,41.20,69.80,,4,3,"   9.0,  15.0,  15.0,   9.0"," 0.00, 0.00, 0.00","12.6,41.2,41.2,69.8",57.10,-8.70,8/2/2001 13:52:50,8/2/2001 19:34:01,0.00,255
